City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Kutum,SD,2022-05-06 05:21:47,14.2,24.6667,74.86,20,31,5.06
198,Calamar,CO,2022-05-06 05:21:47,10.2511,-74.9146,77.32,91,100,5.26
199,Sola,VU,2022-05-06 05:21:48,-13.8833,167.55,82.2,75,17,12.06
200,Darhan,MN,2022-05-06 05:21:48,49.4867,105.9228,53.55,22,43,6.62
201,Kirgiz-Miyaki,RU,2022-05-06 05:21:49,53.6324,54.7979,39.85,43,6,15.19
202,Broome,US,2022-05-06 05:21:49,42.2506,-75.833,52.81,66,0,6.91
203,Torbay,CA,2022-05-06 05:21:50,47.6666,-52.7314,40.28,96,100,6.91
204,Synya,RU,2022-05-06 05:21:50,65.3718,58.0387,27.72,57,84,7.47
205,Herat,AF,2022-05-06 05:21:51,34.5,62.0,81.55,15,17,8.21
206,Sidi Ali,DZ,2022-05-06 05:21:51,36.0998,0.4206,54.21,90,4,5.53
207,Bathsheba,BB,2022-05-06 05:21:52,13.2167,-59.5167,79.41,78,40,16.11
208,Cachira,CO,2022-05-06 05:21:52,7.741,-73.0483,57.31,95,100,0.65
209,Flinders,AU,2022-05-06 05:21:53,-34.5833,150.8552,69.19,41,0,8.99
210,Padang,ID,2022-05-06 05:21:53,-0.9492,100.3543,80.65,80,100,5.01
211,Shatura,RU,2022-05-06 05:17:45,55.5725,39.5368,45.81,49,54,8.43
212,Lavrentiya,RU,2022-05-06 05:21:54,65.5833,-171.0,23.97,85,15,2.04
213,Warri,NG,2022-05-06 05:21:54,5.5167,5.75,74.68,97,100,11.05
214,Annau,TM,2022-05-06 05:21:55,37.8876,58.516,81.9,51,63,4.61
215,Laguna,US,2022-05-06 05:21:56,38.421,-121.4238,64.44,73,0,8.05
216,Klaksvik,FO,2022-05-06 05:21:56,62.2266,-6.589,45.52,85,95,22.26
217,Saldanha,ZA,2022-05-06 05:21:57,-33.0117,17.9442,55.45,88,86,1.16
218,Grand Gaube,MU,2022-05-06 05:21:57,-20.0064,57.6608,79.2,88,76,7.0
219,Semey,KZ,2022-05-06 05:20:27,50.4111,80.2275,70.02,26,0,6.71
220,Mitsamiouli,KM,2022-05-06 05:21:58,-11.3847,43.2844,82.69,65,20,2.3
221,Anadyr,RU,2022-05-06 05:21:58,64.75,177.4833,36.1,75,0,8.95
222,Camacari,BR,2022-05-06 05:18:01,-12.6975,-38.3242,80.37,86,8,3.96
223,Mangrol,IN,2022-05-06 05:21:59,21.1167,70.1167,87.76,52,0,10.65
224,Haradok,BY,2022-05-06 05:21:59,55.4624,29.9816,44.71,65,54,7.52
225,Baie-Comeau,CA,2022-05-06 05:19:43,49.2168,-68.1489,35.28,64,100,8.05
226,Hambantota,LK,2022-05-06 05:22:00,6.1241,81.1185,87.69,66,70,18.28
227,Kontagora,NG,2022-05-06 05:22:00,10.3999,5.4695,76.75,75,100,3.22
